date_time,tweet_id,retweets,favorites
2017-05-11 17:34:13,862722525377298433,3182,15733
2017-05-11 00:01:27,862457590147678208,4380,18754
2017-05-10 00:08:34,862096992088072192,20634,68099
2017-05-08 00:54:59,861383897657036800,9586,33158
2017-05-07 18:36:02,861288531465048066,3704,15777
2017-05-06 23:49:50,861005113778896900,3426,15393
2017-05-06 22:16:42,860981674716409858,1910,0
2017-05-06 18:27:40,860924035999428608,699,0
2017-05-05 18:36:06,860563773140209665,1910,6896
2017-05-05 16:00:04,860524505164394496,4751,21821
2017-05-04 23:34:55,860276583193509888,3157,17022
2017-05-04 17:30:24,860184849394610176,5261,15373
2017-05-04 17:01:34,860177593139703809,27689,0
2017-05-04 00:15:58,859924526012018688,3691,18120
2017-05-03 19:26:06,859851578198683649,3168,14308
2017-05-03 03:17:27,859607811541651456,1397,17251
2017-05-02 00:04:57,859196978902773760,27122,82816
2017-05-01 15:58:40,859074603037188101,12321,31224
2017-05-01 01:47:28,858860390427611136,7318,0
2017-05-01 00:40:27,858843525470990336,3125,14476
2017-04-30 00:02:42,858471635011153920,4399,20009
2017-04-28 23:57:28,858107933456039936,2610,14614
2017-04-28 16:08:49,857989990357356544,2332,14890
2017-04-28 00:00:54,857746408056729600,9626,31667
2017-04-27 00:38:11,857393404942143489,1481,5457
2017-04-26 16:00:39,857263160327368704,4095,18676
2017-04-26 12:48:51,857214891891077121,16,208
2017-04-26 02:41:43,857062103051644929,154,0
2017-04-26 00:33:27,857029823797047296,3607,17507
2017-04-24 16:22:16,856543823941562368,2623,15243
2017-04-24 15:13:52,856526610513747968,1712,11101
2017-04-23 23:26:03,856288084350160898,15,495
2017-04-23 23:01:59,856282028240666624,5753,25892
2017-04-22 19:15:32,855862651834028034,22,312
2017-04-22 19:05:32,855860136149123072,879,4554
2017-04-22 18:55:51,855857698524602368,1921,11109
2017-04-22 18:31:02,855851453814013952,16588,42938
2017-04-22 16:18:34,855818117272018944,4968,24905
2017-04-21 16:33:22,855459453768019968,7515,27804
2017-04-21 02:22:29,855245323840757760,5443,0
2017-04-20 19:16:59,855138241867124737,39,0
2017-04-19 16:25:34,854732716440526848,5551,21283
2017-04-18 23:50:52,854482394044301312,6232,27327
2017-04-18 16:05:17,854365224396361728,4288,17665
2017-04-17 23:52:16,854120357044912130,6828,29971
2017-04-17 16:34:26,854010172552949760,2895,15247
2017-04-17 00:03:50,853760880890318849,5294,26795
2017-04-16 16:00:07,853639147608842240,9180,32481
2017-04-15 17:32:18,853299958564483072,3269,14543
2017-04-14 17:27:40,852936405516943360,1838,0
2017-04-14 15:51:39,852912242202992640,1661,8470
2017-04-13 23:59:28,852672615818899456,1997,14033
2017-04-13 16:05:56,852553447878664193,3223,15316
2017-04-13 00:03:59,852311364735569921,9164,31168
2017-04-12 18:25:07,852226086759018497,6300,18821
2017-04-12 16:00:27,852189679701164033,1466,10825
2017-04-11 18:15:55,851861385021730816,19,0
2017-04-11 00:24:08,851591660324737024,3232,15359
2017-04-10 16:00:07,851464819735769094,6525,22909
2017-04-10 00:06:42,851224888060895234,5330,19541
2017-04-08 16:54:09,850753642995093505,8389,28970
2017-04-07 16:10:12,850380195714523136,2413,12398
2017-04-07 13:04:55,850333567704068097,306,3275
2017-04-07 00:38:06,850145622816686080,3507,15426
2017-04-06 16:18:05,850019790995546112,4522,19296
2017-04-06 00:13:11,849776966551130114,7046,28718
2017-04-05 17:00:34,849668094696017920,4606,0
2017-04-05 00:04:08,849412302885593088,2927,15040
2017-04-04 19:03:06,849336543269576704,1749,10824
2017-04-04 00:12:06,849051919805034497,7880,40103
2017-04-03 00:16:10,848690551926992896,4031,23915
2017-04-02 00:03:26,848324959059550208,4302,23470
2017-04-01 16:41:12,848213670039564288,671,7756
2017-04-01 16:35:01,848212111729840128,2811,15471
2017-04-01 01:08:10,847978865427394560,3030,0
2017-04-01 00:39:12,847971574464610304,412,0
2017-04-01 00:04:17,847962785489326080,4742,22338
2017-03-31 16:07:33,847842811428974592,1228,5142
2017-03-31 01:11:22,847617282490613760,385,6645
2017-03-31 00:27:14,847606175596138505,3187,17840
2017-03-30 00:56:03,847251039262605312,4047,19501
2017-03-29 18:43:12,847157206088847362,5425,18868
2017-03-29 16:00:12,847116187444137987,2970,20411
2017-03-29 00:01:05,846874817362120707,3664,19111
2017-03-28 00:07:32,846514051647705089,10763,42326
2017-03-27 23:35:28,846505985330044928,2864,13435
2017-03-27 00:15:53,846153765933735936,8454,29974
2017-03-26 23:20:02,846139713627017216,9450,29553
2017-03-26 16:55:29,846042936437604353,2670,15223
2017-03-26 01:38:00,845812042753855489,8124,27835
2017-03-25 16:45:08,845677943972139009,4515,24046
2017-03-24 22:08:59,845397057150107648,1667,7284
2017-03-24 16:10:40,845306882940190720,5035,22224
2017-03-24 02:22:04,845098359547420673,7161,0
2017-03-23 18:29:57,844979544864018432,2383,13009
2017-03-23 18:07:10,844973813909606400,2963,14327
2017-03-22 16:04:20,844580511645339650,2904,15702
2017-03-21 16:26:50,844223788422217728,2052,13053
2017-03-21 00:22:10,843981021012017153,2783,14510
2017-03-20 16:08:44,843856843873095681,4317,20513
2017-03-19 23:25:35,843604394117681152,2561,16132
2017-03-18 22:59:54,843235543001513987,5614,20539
2017-03-17 21:13:10,842846295480000512,3424,14629
2017-03-17 15:51:22,842765311967449089,1198,6440
2017-03-17 00:38:32,842535590457499648,3299,17365
2017-03-16 00:00:07,842163532590374912,5443,23377
2017-03-15 20:48:07,842115215311396866,2848,13384
2017-03-15 02:10:39,841833993020538882,14062,0
2017-03-14 16:01:03,841680585030541313,7383,24686
2017-03-14 00:04:30,841439858740625411,3432,12061
2017-03-13 16:08:50,841320156043304961,5192,18972
2017-03-13 15:47:01,841314665196081154,4369,15160
2017-03-13 00:02:39,841077006473256960,5015,21910
2017-03-12 03:07:56,840761248237133825,1658,0
2017-03-12 00:59:17,840728873075638272,15082,0
2017-03-11 22:59:09,840698636975636481,2,170
2017-03-11 22:51:24,840696689258311684,912,11776
2017-03-11 18:35:42,840632337062862849,1658,8638
2017-03-11 01:15:58,840370681858686976,4302,15767
2017-03-10 18:27:58,840268004936019968,5403,18445
2017-03-10 00:04:21,839990271299457024,2134,12876
2017-03-08 18:52:12,839549326359670784,7318,26283
2017-03-08 01:44:07,839290600511926273,137,0
2017-03-07 22:22:32,839239871831150596,6129,25948
2017-03-07 03:22:35,838952994649550848,3779,18860
2017-03-07 01:17:48,838921590096166913,1929,10687
2017-03-07 00:57:32,838916489579200512,31,0
2017-03-06 19:21:35,838831947270979586,10396,0
2017-03-06 01:26:54,838561493054533637,1261,10531
2017-03-05 19:48:43,838476387338051585,4485,21565
2017-03-05 01:36:26,838201503651401729,9494,0
2017-03-04 22:12:52,838150277551247360,313,1599
2017-03-04 17:56:49,838085839343206401,1,134
2017-03-04 17:49:08,838083903487373313,2935,16934
2017-03-04 00:21:08,837820167694528512,7394,32722
2017-03-03 01:58:22,837482249356513284,420,3714
2017-03-03 01:14:41,837471256429613056,2132,12312
2017-03-02 01:20:01,837110210464448512,2240,15447
2017-03-01 17:22:13,836989968035819520,2177,12286
2017-03-01 01:42:39,836753516572119041,4387,18616
2017-02-28 20:41:37,836677758902222849,2094,12154
2017-02-28 18:46:45,836648853927522308,521,0
2017-02-28 02:09:08,836397794269200385,26001,0
2017-02-28 01:00:19,836380477523124226,2833,14242
2017-02-27 17:01:56,836260088725786625,4102,20514
2017-02-26 23:52:43,836001077879255040,4040,18374
2017-02-26 02:57:52,835685285446955009,7698,0
2017-02-25 19:37:50,835574547218894849,3411,17118
2017-02-25 17:06:32,835536468978302976,1595,0
2017-02-25 02:03:02,835309094223372289,19828,0
2017-02-25 01:18:40,835297930240217089,2832,15880
2017-02-24 23:04:14,835264098648616962,1595,7436
2017-02-24 21:54:03,835246439529840640,67,2025
2017-02-24 17:01:22,835172783151792128,5454,25215
2017-02-24 15:40:31,835152434251116546,2846,21540
2017-02-24 01:03:08,834931633769889797,1531,10383
2017-02-23 15:25:23,834786237630337024,5255,20707
2017-02-23 01:22:14,834574053763584002,2382,13144
2017-02-22 18:59:48,834477809192075265,10100,0
2017-02-22 17:41:18,834458053273591808,1589,9274
2017-02-22 01:14:30,834209720923721728,4489,19792
2017-02-21 22:26:07,834167344700198914,3480,15258
2017-02-21 17:18:39,834089966724603904,2031,9673
2017-02-21 17:04:24,834086379323871233,2096,12572
2017-02-21 02:17:06,833863086058651648,2283,12967
2017-02-20 23:50:09,833826103416520705,3581,17505
2017-02-20 17:37:34,833732339549220864,211,0
2017-02-20 17:00:04,833722901757046785,3088,20176
2017-02-20 00:53:27,833479644947025920,1942,14368
2017-02-19 01:23:00,833124694597443584,4606,19515
2017-02-18 17:00:10,832998151111966721,2090,12770
2017-02-18 01:50:19,832769181346996225,38,0
2017-02-18 01:03:09,832757312314028032,3439,16272
2017-02-17 20:05:43,832682457690300417,2770,11457
2017-02-17 17:38:57,832645525019123713,506,2818
2017-02-17 17:01:29,832636094638288896,2642,15319
2017-02-17 01:13:34,832397543355072512,2104,11551
2017-02-16 23:23:38,832369877331693569,3030,16566
2017-02-16 17:00:25,832273440279240704,2227,10951
2017-02-16 13:11:49,832215909146226688,5916,0
2017-02-16 13:11:05,832215726631055365,8874,0
2017-02-16 04:45:50,832088576586297345,2,61
2017-02-16 01:34:34,832040443403784192,9122,0
2017-02-16 01:04:13,832032802820481025,4435,17229
2017-02-15 18:54:34,831939777352105988,5846,23145
2017-02-15 18:03:45,831926988323639298,34,325
2017-02-15 17:02:36,831911600680497154,6187,26574
2017-02-15 01:04:21,831670449226514432,1735,10063
2017-02-14 23:43:18,831650051525054464,1838,6876
2017-02-14 17:17:22,831552930092285952,2223,8675
2017-02-14 02:02:51,831322785565769729,1486,8979
2017-02-14 01:35:49,831315979191906304,1064,6310
2017-02-14 01:09:44,831309418084069378,2346,11389
2017-02-13 22:03:49,831262627380748289,1956,11484
2017-02-13 01:46:03,830956169170665475,1423,7712
2017-02-12 01:04:29,830583320585068544,15907,64329
2017-02-10 21:54:58,830173239259324417,5408,0
2017-02-10 16:53:37,830097400375152640,2797,9419
2017-02-10 02:25:42,829878982036299777,4769,0
2017-02-10 01:15:49,829861396166877184,1849,11850
2017-02-09 01:27:41,829501995190984704,10100,30676
2017-02-08 22:00:52,829449946868879360,1919,10133
2017-02-08 01:35:19,829141528400556032,6994,23535
2017-02-07 17:00:28,829011960981237760,15620,51583
2017-02-07 03:04:22,828801551087042563,3259,0
2017-02-07 01:00:22,828770345708580865,5585,24744
2017-02-06 20:55:28,828708714936930305,10688,35285
2017-02-06 17:02:17,828650029636317184,1279,9204
2017-02-06 01:07:28,828409743546925057,1110,6160
2017-02-06 01:03:14,828408677031882754,1229,7435
2017-02-05 23:15:47,828381636999917570,2128,12193
2017-02-05 22:55:23,828376505180889089,1022,7151
2017-02-05 22:40:03,828372645993398273,2795,12187
2017-02-05 21:56:51,828361771580813312,169,2112
2017-02-05 01:04:17,828046555563323392,2744,11353
2017-02-04 22:45:42,828011680017821696,2060,10025
2017-02-04 17:34:40,827933404142436356,5000,19393
2017-02-03 23:04:02,827653905312006145,2892,15006
2017-02-03 19:31:54,827600520311402496,896,7250
2017-02-03 01:16:53,827324948884643840,2894,15340
2017-02-02 17:00:17,827199976799354881,2121,10244
2017-02-02 01:01:21,826958653328592898,4769,20869
2017-02-01 17:44:55,826848821049180160,9687,34976
2017-02-01 02:17:19,826615380357632002,3798,0
2017-02-01 01:11:25,826598799820865537,238,4972
2017-02-01 01:09:42,826598365270007810,2246,9694
2017-01-31 17:06:32,826476773533745153,4017,17813
2017-01-31 01:27:39,826240494070030336,2494,12862
2017-01-30 23:05:46,826204788643753985,878,4725
2017-01-30 17:10:04,826115272272650244,2966,15149
2017-01-30 01:21:19,825876512159186944,1785,10157
2017-01-29 22:15:05,825829644528148480,2404,12356
2017-01-29 02:44:34,825535076884762624,16869,55332
2017-01-28 01:04:51,825147591692263424,4334,17720
2017-01-27 23:16:13,825120256414846976,1195,0
2017-01-27 17:04:02,825026590719483904,1195,6065
2017-01-27 01:49:15,824796380199809024,5267,0
2017-01-27 00:24:48,824775126675836928,3353,14459
2017-01-26 17:02:56,824663926340194305,1692,10191
2017-01-25 18:38:36,824325613288833024,10166,11472
2017-01-25 16:45:05,824297048279236611,3687,14595
2017-01-24 22:44:42,824025158776213504,574,4690
2017-01-24 17:04:50,823939628516474880,2611,10320
2017-01-24 02:28:08,823719002937630720,10699,0
2017-01-24 01:08:40,823699002998870016,2414,13555
2017-01-23 17:20:14,823581115634085888,2515,12616
2017-01-23 00:56:15,823333489516937216,22,684
2017-01-23 00:13:17,823322678127919110,3845,15236
2017-01-22 20:42:21,823269594223824897,9492,0
2017-01-22 01:12:59,822975315408461824,3305,16824
2017-01-21 18:26:02,822872901745569793,41310,127461
2017-01-21 17:31:20,822859134160621569,2181,12822
2017-01-21 03:29:14,822647212903690241,6133,0
2017-01-21 01:02:48,822610361945911296,2822,14351
2017-01-20 17:00:46,822489057087389700,6133,17586
2017-01-20 15:17:01,822462944365645825,13634,27026
2017-01-20 00:50:15,822244816520155136,9492,33921
2017-01-19 19:25:24,822163064745328640,4539,0
2017-01-19 01:04:45,821886076407029760,2215,10967
2017-01-18 20:16:54,821813639212650496,3219,0
2017-01-18 17:07:18,821765923262631936,1603,8146
2017-01-18 01:01:34,821522889702862852,1673,7788
2017-01-17 18:17:58,821421320206483457,5328,0
2017-01-17 17:21:47,821407182352777218,4127,11383
2017-01-17 00:33:26,821153421864615936,9,242
2017-01-17 00:18:04,821149554670182400,1876,8344
2017-01-16 21:32:06,821107785811234820,2043,9307
2017-01-16 17:20:45,821044531881721856,2191,12300
2017-01-16 03:37:31,820837357901512704,6443,0
2017-01-15 21:49:15,820749716845686786,9494,30662
2017-01-15 17:52:40,820690176645140481,3096,11886
2017-01-15 04:56:16,820494788566847489,542,0
2017-01-15 01:45:15,820446719150292993,2465,0
2017-01-14 17:00:24,820314633777061888,542,3250
2017-01-14 01:22:35,820078625395449857,6010,19201
2017-01-13 21:04:55,820013781606658049,1125,0
2017-01-13 17:00:21,819952236453363712,1125,5155
2017-01-13 15:08:56,819924195358416896,4685,12562
2017-01-13 01:03:12,819711362133872643,2983,12979
2017-01-12 16:54:26,819588359383371776,1923,9394
2017-01-12 00:55:47,819347104292290561,1160,7024
2017-01-11 17:42:57,819238181065359361,392,2188
2017-01-11 17:01:16,819227688460238848,6443,22376
2017-01-11 02:57:27,819015337530290176,35628,0
2017-01-11 02:57:26,819015331746349057,18326,0
2017-01-11 02:21:57,819006400881917954,18326,44131
2017-01-11 02:15:36,819004803107983360,35628,84861
2017-01-10 02:30:30,818646164899774465,20088,0
2017-01-10 01:15:10,818627210458333184,7268,21780
2017-01-10 00:24:38,818614493328580609,2429,9554
2017-01-09 22:42:41,818588835076603904,5869,0
2017-01-09 19:14:36,818536468981415936,2345,10541
2017-01-09 04:04:51,818307523543449600,7728,0
2017-01-09 00:53:55,818259473185828864,2161,10680
2017-01-08 17:20:31,818145370475810820,2451,11924
2017-01-08 01:40:55,817908911860748288,761,4724
2017-01-07 20:18:46,817827839487737858,26001,50013
2017-01-07 16:59:28,817777686764523521,2587,10485
2017-01-07 01:00:41,817536400337801217,2824,11447
2017-01-06 22:45:43,817502432452313088,3250,0
2017-01-06 17:33:29,817423860136083457,14062,32765
2017-01-06 17:00:38,817415592588222464,916,5445
2017-01-06 01:31:47,817181837579653120,8129,0
2017-01-06 00:49:53,817171292965273600,1946,8519
2017-01-05 21:29:55,817120970343411712,2496,11864
2017-01-05 17:13:55,817056546584727552,1580,8355
2017-01-05 02:09:53,816829038950027264,4524,0
2017-01-05 01:20:46,816816676327063552,1954,9740
2017-01-04 17:27:59,816697700272001025,2109,9507
2017-01-04 01:05:59,816450570814898180,7728,29505
2017-01-03 17:33:39,816336735214911488,1870,8370
2017-01-03 01:20:49,816091915477250048,2051,8696
2017-01-02 23:23:48,816062466425819140,982,0
2017-01-02 20:12:21,816014286006976512,5045,0
2017-01-02 18:38:42,815990720817401858,982,4802
2017-01-02 17:00:46,815966073409433600,8129,21766
2017-01-02 02:26:09,815745968457060357,3985,0
2017-01-02 01:48:06,815736392542261248,2182,9575
2017-01-01 19:22:38,815639385530101762,1590,8008
2017-01-01 02:53:20,815390420867969024,3677,10075
2016-12-31 00:08:17,814986499976527872,1226,7452
2016-12-30 01:05:33,814638523311648768,2604,10985
2016-12-29 21:06:41,814578408554463233,5629,0
2016-12-29 17:54:58,814530161257443328,1787,8416
2016-12-28 16:56:16,814153002265309185,8351,28003
2016-12-28 03:08:11,813944609378369540,3060,0
2016-12-28 00:52:25,813910438903693312,1792,9073
2016-12-27 18:24:12,813812741911748608,13467,35514
2016-12-27 17:36:16,813800681631023104,1700,8105
2016-12-26 03:00:30,813217897535406080,7055,18146
2016-12-26 02:00:11,813202720496779264,1759,9008
2016-12-26 01:00:05,813187593374461952,4190,19353
2016-12-26 00:00:03,813172488309972993,1859,9039
2016-12-25 23:00:08,813157409116065792,2121,7568
2016-12-25 22:00:04,813142292504645637,2312,8289
2016-12-25 21:12:41,813130366689148928,431,4381
2016-12-25 21:00:18,813127251579564032,3004,11515
2016-12-25 20:00:07,813112105746448384,2647,10054
2016-12-25 19:00:02,813096984823349248,3496,10305
2016-12-25 18:00:17,813081950185472002,2684,9665
2016-12-25 17:00:08,813066809284972545,1887,7745
